n_obs,n_trees,n_folds,variance_total,variance_dgp,share_variance_dgp,variance_cf_rep,share_variance_cf_rep,variance_learner_rep,share_variance_learner_rep
100,1,2,0.0863359661609784,0.02921214840957,0.338354334914169,0.00998838266421579,0.115692023942743,0.0471354350871926,0.545953641143088
200,1,2,0.0425611056746575,0.0199551873438259,0.468859702479675,0.00363786382033351,0.0854739030546294,0.0189680545104981,0.445666394465696
400,1,2,0.0186828353322604,0.00984569431663068,0.526991441156136,0.00145128256407707,0.0776799954753697,0.00738585845155266,0.395328563368495
800,1,2,0.0103052362148672,0.00644730442075521,0.625633831804243,0.000683612317060298,0.0663364044071171,0.00317431947705167,0.30802976378864
100,10,2,0.0699565599029541,0.0525034810143222,0.750515478279044,0.00761162778001233,0.108805061177557,0.00984145110861957,0.140679460543399
200,10,2,0.0339269528954489,0.02682564503151,0.79068830950358,0.00305438008468815,0.0900281287889512,0.00404692777925066,0.119283561707469
400,10,2,0.0161148715173327,0.0136608348050268,0.847716023694862,0.00101029199485116,0.0626931461268255,0.00144374471745469,0.0895908301783131
800,10,2,0.00744645758009278,0.00634707705621566,0.852361943642011,0.000459287290700019,0.0616786284968398,0.000640093233177096,0.0859594278611496
100,100,2,0.0565088091605223,0.0478201271761244,0.846241991054592,0.00766340405667175,0.135614325810736,0.00102527792772618,0.0181436831346722
200,100,2,0.0269100033753971,0.0237574581386878,0.88284857520339,0.00275863015978894,0.102513185201272,0.000393915076920415,0.0146382395953379
400,100,2,0.0122224287404685,0.0109700980807191,0.89753831367387,0.0011063635248621,0.0905191225373173,0.000145967134887266,0.011942563788813
800,100,2,0.00709374124415953,0.00660601975179658,0.931246224583607,0.000420874772653526,0.0593304376586957,6.6846719709424e-05,0.00942333775769742
100,500,2,0.0631043988633693,0.0554864611358123,0.879280400974092,0.00741271284006738,0.117467450345531,0.000205224887489531,0.00325214868037765
200,500,2,0.0226804280248268,0.0198355982480173,0.874568955502275,0.00276781397239684,0.122035350010463,7.70158044126677e-05,0.00339569448726292
400,500,2,0.0159497629025894,0.0148710250393645,0.93236652671183,0.00104788591188257,0.0656991529142067,3.08519513423631e-05,0.00193432037396332
800,500,2,0.00720840937639668,0.0068495056850707,0.950210417779382,0.000346336584436674,0.0480461869397601,1.25671068893009e-05,0.00174339528085778
100,1,5,0.0644087528960317,0.0366049871096983,0.568323177577834,0.00323095671842949,0.0501633174553912,0.024572809067904,0.381513504966775
200,1,5,0.0309092772635904,0.0194106530629399,0.627987930529995,0.00137644201505316,0.0445316790591718,0.0101221821855973,0.327480390410833
400,1,5,0.0146069611736532,0.00942708252006891,0.64538286971507,0.000639347656328155,0.0437700661162403,0.00454053099725614,0.31084706416869
800,1,5,0.00663283694234082,0.00420296356551915,0.633660016378432,0.000284044352038853,0.0428239612262516,0.00214582902478281,0.323516022395316
100,10,5,0.0570141156244392,0.0493754473071341,0.866021453921654,0.00209673933567681,0.036775793375247,0.00554192898162828,0.0972027527030995
200,10,5,0.0322375535678132,0.0290771649091826,0.901965617459694,0.000803700785666666,0.0249305761982231,0.00235668787296393,0.0731038063420827
400,10,5,0.0135877434666298,0.0121955958609046,0.897543870389946,0.00032655185090677,0.02403282426613,0.00106559575481842,0.0784233053439244
800,10,5,0.00520688955900113,0.00459832085260863,0.883122409358489,0.000127630818643314,0.0245119119960359,0.000480937887749178,0.0923656786454753
100,100,5,0.0614711139833598,0.0590717029906154,0.96096685357949,0.00181717424401972,0.0295614334321586,0.000582236748724614,0.00947171298835134
200,100,5,0.0252929049105218,0.0244552363493276,0.966881282946443,0.000596352269923064,0.0235778480974316,0.000241316291271034,0.00954086895612561
400,100,5,0.0123234234007307,0.0119875197947739,0.972742671006755,0.000227148254829435,0.0184322365176519,0.000108755351127331,0.00882509247559264
800,100,5,0.00695718715246427,0.0068104278573408,0.978905369094249,9.59832346603451e-05,0.0137962703254788,5.07760604631231e-05,0.00729836058027244
100,500,5,0.0445497506243444,0.0428526489405276,0.961905472869485,0.00158390381791182,0.0355535956029862,0.00011319786590496,0.00254093152752919
200,500,5,0.0253769730875439,0.0246969014762704,0.973201232119866,0.00063071452378592,0.0248538122182705,4.93570874875794e-05,0.00194495566186363
400,500,5,0.0115960707043558,0.011347475162983,0.978562088166695,0.00022668562159299,0.0195484856355559,2.19099197797652e-05,0.00188942619774949
800,500,5,0.00650876554428198,0.00640328937007983,0.983794749790179,9.54990632454848e-05,0.0146723772112796,9.9771109566634e-06,0.00153287299854093
100,1,10,0.0560463686832612,0.03295714588286,0.588033563228923,0.00277547197499927,0.0495209955650203,0.0203137508254019,0.362445441206057
200,1,10,0.0302480690772119,0.0200037147643506,0.66132204053385,0.00111803141839105,0.0369620756795132,0.00912632289447021,0.301715883786637
400,1,10,0.0141079569425911,0.00932258007861781,0.660802986325644,0.000530467803401769,0.0376006111700212,0.00425490906057153,0.301596402504335
800,1,10,0.00670432144368306,0.00447684775080653,0.667755534756572,0.000226941865711005,0.0338500872336355,0.00200053182716552,0.298394378009793
100,10,10,0.054786727031366,0.0485506929073296,0.88617618788459,0.00115975631741492,0.0211685636331396,0.00507627780662154,0.0926552484822703
200,10,10,0.0263241087790551,0.0236635885185736,0.898932181035567,0.000442964500608529,0.0168273313382208,0.00221755575987305,0.084240487626212
400,10,10,0.0123844664494634,0.0111644483921613,0.901488040499728,0.000204090387921555,0.0164795462730975,0.00101592766938045,0.0820324132271743
800,10,10,0.00671581010412633,0.0061647872876782,0.917951400068688,8.15692078751027e-05,0.0121458478739571,0.000469453608573023,0.0699027520573551
100,100,10,0.0446187106754283,0.0433484300671774,0.971530315667538,0.000764290995592288,0.0171293832569928,0.000505989612658601,0.011340301075469
200,100,10,0.0348349376005125,0.034344816618206,0.985930189170215,0.000268835278030751,0.00771740374889594,0.000221285704275808,0.00635240708088858
400,100,10,0.0123809051285765,0.0121594657534794,0.982114443750483,0.000119238456294791,0.00963083514948964,0.000102200918802292,0.00825472110002694
800,100,10,0.00702430651485519,0.00692962423296356,0.986520764478117,4.51916835155554e-05,0.00643361496540374,4.94905983760725e-05,0.00704562055647892
100,500,10,0.0486022626863001,0.0477448211149714,0.982357990679096,0.000755377622264164,0.0155420258340583,0.000102063949064582,0.002099983486846
200,500,10,0.0299562596812617,0.0296559699430849,0.989975726563599,0.000254749241838678,0.00850404037584267,4.55404963381355e-05,0.00152023306055869
400,500,10,0.0150564693375462,0.0149371899093103,0.992077861976683,9.84304713739986e-05,0.00653742050458955,2.08489568618785e-05,0.00138471751872716
800,500,10,0.0069239862812527,0.0068712454664818,0.992382882832436,4.30927302554276e-05,0.00622368798911472,9.64808451547712e-06,0.00139342917844886
